,time,inav,market_index,difference
0,2017-02-15 12:00:41.915081,9528.404593415233,9525.24,3.1645934152329573
1,2017-02-15 12:00:43.460517,9528.404593415233,9524.96,3.444593415233612
2,2017-02-15 12:00:44.894768,9528.526419768823,9524.83,3.6964197688230342
3,2017-02-15 12:25:47.662130,9529.37920424396,9526.16,3.219204243960121
4,2017-02-15 12:25:48.917979,9529.37920424396,9526.04,3.3392042439591023
5,2017-02-15 12:25:52.154423,9529.50103059755,9526.34,3.1610305975500523
6,2017-02-15 12:25:54.614244,9529.561943774346,9526.1,3.4619437743458548
7,2017-02-15 12:25:56.157870,9529.683770127936,9525.98,3.7037701279368775
8,2017-02-15 12:25:58.137660,9530.171075542301,9525.48,4.691075542301405
9,2017-02-15 12:26:00.572255,9530.353815072687,9525.48,4.873815072687648
10,2017-02-15 12:26:03.133464,9530.597467779868,9525.38,5.217467779868457
11,2017-02-15 12:26:04.998835,9530.780207310256,9525.38,5.400207310256519
12,2017-02-15 12:26:07.714329,9530.902033663846,9525.34,5.562033663845796
13,2017-02-15 12:26:09.111804,9530.962946840642,9525.34,5.622946840641816
14,2017-02-15 12:26:11.008389,9530.962946840642,9525.38,5.582946840642762
15,2017-02-15 12:26:12.333540,9530.902033663846,9525.38,5.5220336638467415
16,2017-02-15 12:26:13.859343,9530.962946840642,9525.38,5.582946840642762
17,2017-02-15 12:26:15.291395,9530.902033663846,9525.19,5.712033663845432
18,2017-02-15 12:26:16.935725,9530.902033663846,9525.25,5.652033663845941
19,2017-02-15 12:26:19.292413,9531.145686371028,9525.24,5.905686371028423
20,2017-02-15 12:26:21.018140,9531.572078608597,9525.28,6.292078608596057
21,2017-02-15 12:26:23.705062,9530.841120487052,9524.91,5.931120487051885
22,2017-02-15 12:26:25.754243,9530.536554603073,9524.85,5.686554603073091
23,2017-02-15 12:26:27.266304,9530.353815072687,9524.91,5.443815072687357
24,2017-02-15 12:26:28.966887,9530.353815072687,9524.9,5.453815072687576
25,2017-02-15 12:26:30.652791,9530.292901895891,9524.85,5.442901895890827
26,2017-02-15 12:26:32.628657,9530.231988719097,9524.81,5.421988719097499
27,2017-02-15 12:26:34.405482,9530.353815072687,9524.84,5.513815072687066
28,2017-02-15 12:26:35.998966,9530.292901895891,9524.81,5.4829018958917
29,2017-02-15 12:26:38.308299,9529.318291067164,9524.48,4.838291067164391
30,2017-02-15 12:26:39.989407,9529.318291067164,9524.45,4.868291067163227
31,2017-02-15 12:26:41.295343,9529.318291067164,9524.38,4.938291067164755
32,2017-02-15 12:26:42.953628,9529.440117420754,9524.41,5.030117420754323
33,2017-02-15 12:26:44.789516,9529.501030597548,9524.54,4.961030597547506
34,2017-02-15 12:26:47.251015,9529.561943774346,9524.29,5.2719437743453454
35,2017-02-15 12:26:49.118134,9529.561943774346,9524.2,5.361943774345491
36,2017-02-15 12:26:51.956204,9529.50103059755,9523.99,5.511030597550416
37,2017-02-15 12:26:53.885028,9529.50103059755,9524.05,5.4510305975509254
38,2017-02-15 12:26:55.845387,9529.257377890366,9524.2,5.057377890365387
39,2017-02-15 12:26:57.496485,9529.318291067162,9524.08,5.2382910671622085
40,2017-02-15 12:26:58.915589,9529.683770127936,9524.02,5.663770127936004
41,2017-02-15 12:27:01.565355,9529.988336011915,9524.05,5.938336011915453
42,2017-02-15 12:27:03.712305,9531.328425901414,9524.17,7.158425901414375
43,2017-02-15 12:27:05.673263,9532.973081674892,9524.17,8.803081674892383
44,2017-02-15 12:27:06.963432,9533.033994851688,9524.31,8.723994851688985
45,2017-02-15 12:27:10.388608,9533.27764755887,9523.88,9.39764755887154
46,2017-02-15 12:27:11.817398,9533.27764755887,9523.82,9.457647558871031
47,2017-02-15 12:27:13.145118,9533.094908028484,9523.91,9.184908028484642
48,2017-02-15 12:27:15.050315,9533.155821205279,9523.94,9.21582120527819
49,2017-02-15 12:27:17.348037,9533.033994851688,9523.94,9.093994851687967
50,2017-02-15 12:27:19.510546,9533.155821205279,9523.94,9.21582120527819
51,2017-02-15 12:27:21.086963,9533.216734382075,9524.03,9.186734382074064
52,2017-02-15 12:27:22.509001,9533.155821205279,9523.73,9.425821205279135
53,2017-02-15 12:27:24.070072,9533.155821205279,9523.67,9.485821205278626
54,2017-02-15 12:27:25.476405,9533.094908028484,9523.61,9.484908028483915
55,2017-02-15 12:27:27.945083,9533.216734382077,9524.14,9.07673438207712
56,2017-02-15 12:27:29.492415,9533.216734382077,9524.14,9.07673438207712
57,2017-02-15 12:27:31.225001,9533.521300266053,9524.14,9.381300266053586
58,2017-02-15 12:27:32.838351,9533.521300266053,9524.11,9.411300266052422
59,2017-02-15 12:27:35.421407,9533.460387089257,9524.14,9.320387089257565
60,2017-02-15 12:27:37.434954,9533.399473912463,9524.14,9.259473912463363
61,2017-02-15 12:27:39.012243,9533.27764755887,9524.11,9.167647558870158
62,2017-02-15 12:27:41.111422,9533.27764755887,9524.11,9.167647558870158
63,2017-02-15 12:27:42.460113,9533.338560735667,9524.11,9.228560735666179
64,2017-02-15 12:27:44.394910,9533.399473912463,9523.74,9.659473912463
65,2017-02-15 12:27:45.877741,9533.338560735667,9523.99,9.348560735666979
66,2017-02-15 12:27:47.168126,9533.338560735667,9523.25,10.08856073566676
67,2017-02-15 12:27:49.070606,9533.399473912463,9522.88,10.519473912463582
68,2017-02-15 12:27:50.614683,9533.399473912463,9522.83,10.569473912462854
69,2017-02-15 12:27:52.585366,9533.582213442849,9523.01,10.572213442848806
70,2017-02-15 12:27:53.850347,9533.764952973235,9522.86,10.904952973234685
